Age,Income,Experience,Department,Satisfaction
25,35000,1,Sales,3
28,42000,3,IT,4
32,55000,7,IT,5
35,65000,10,HR,3
29,48000,4,Sales,4
31,52000,6,IT,5
26,38000,2,Marketing,3
33,60000,8,HR,4
27,40000,2,Sales,2
30,50000,5,IT,5
28,45000,3,Marketing,4
34,62000,9,HR,5
25,36000,1,Sales,3
29,49000,4,IT,4
32,56000,7,Marketing,5
36,68000,11,HR,4
26,39000,2,Sales,3
30,51000,5,IT,5
27,41000,2,Marketing,4
31,53000,6,HR,5
28,44000,3,Sales,2
33,58000,8,IT,4
25,37000,1,HR,3
29,47000,4,Marketing,4
32,54000,7,Sales,5
